record_id,quality_rigor,quality_transfer,quality_repro_ethics,decision,decision_reason
R2EA029,3,3,3,keep_medium,Systematic review on AI in education with strong citations.
R2EA030,4,4,3,keep_high,Hybrid AI models for adaptive educational feedback.
R2EA031,3,3,3,keep_medium,Broad overview of AI and education sustainability.
R2EA032,3,4,3,maybe,AI-generated speakers for multilingual e-learning, early evidence.
R2EA033,3,2,3,maybe,Industry 4.0 workforce focus only partially educational.
R2EA034,4,2,3,maybe,Ensemble-learning survey not education-centered.
R2EA035,2,3,2,maybe,Low-citation data-science education analysis.
R2EA036,3,4,3,keep_medium,Personalized AI college English learning use case.
R2EA037,3,4,3,keep_medium,SVM learning-style identification with practical relevance.
R2EA038,2,2,2,exclude,Low-quality venue with weak educational evidence.
R2EA039,5,4,5,keep_high,LLM ethics scoping review with strong quality.
R2EA040,4,4,4,keep_high,Early-warning personalized interventions with practical impact.
R2EA041,5,4,5,keep_high,Meta-systematic review on AI higher-education ethics.
R2EA042,3,3,3,maybe,Dynamic user-modeling framework with limited validation.
R2EA043,4,1,3,exclude,Climate ML focus outside education-adaptive scope.
R2EA044,2,3,2,maybe,Self-regulated learning model with weak evidence.
R2EA045,3,3,3,maybe,Vocational AI training chapter with moderate rigor.
