record_id,quality_rigor,quality_transfer,quality_repro_ethics,decision,decision_reason
R2NE026,3,4,2,keep_medium,Theoretical framework relevant to neurodiversity, lacks empirical validation.
R2NE028,3,4,3,keep_medium,Career pathway study for STEM, limited methodological detail evident.
R2NE030,4,5,4,keep_high,Educational Psychology Review reframes stimming as cognitive resource.
R2NE031,3,4,3,keep_medium,Integrative perspective on autism assessment diagnosis intervention.
R2NE032,3,4,4,keep_medium,Participatory autism research creative pedagogy ethical engagement.
R2NE033,3,4,4,keep_medium,ADHD science learning experiences specialized education journal.
R2NE034,2,3,3,maybe,Institutional repository zero citations, novel topic limited impact.
R2NE035,4,4,4,keep_high,Quantitative neurodiversity extraneous load online learning study.
R2NE036,3,5,4,keep_high,Computational thinking neurodiversity inclusion high education relevance.
R2NE037,4,4,5,keep_high,IPA autistic teachers rigorous qualitative method strong citations.
R2NE038,4,5,4,keep_high,Rapid systematic review higher education supports evidence-based.
R2NE039,3,5,4,maybe,AI learning tools ASD emerging topic zero citations early publication.
R2NE040,4,5,4,keep_high,IEEE journal computing pedagogy autistic students strong venue.
R2NE041,2,4,2,exclude,Metaverse emerging tech zero citations future date ethical unclear.
R2NE043,4,3,4,keep_medium,Empirical synchrony analysis severe disabilities neuroscience focus.
R2NE045,3,4,4,keep_medium,Pilot wellbeing study neurodivergent children public health journal.
R2NA003,2,5,3,maybe,AI inclusive web design zero citations practical relevance unproven.
R2NA007,2,5,3,maybe,Eye-tracking hybrid learning zero citations emerging technology unvalidated.
R2NA008,2,2,1,exclude,Psychedelic therapy outside education scope serious ethical concerns.
