record_id,quality_rigor,quality_transfer,quality_repro_ethics,decision,decision_reason
R2EA009,4,3,3,keep_medium,Educational data-mining framework with moderate rigor.
R2EA010,3,3,2,maybe,Teaching informatization study with limited robustness.
R2EA011,3,3,3,maybe,Learning-style identification with moderate relevance.
R2EA012,3,3,2,maybe,E-learning behavior mining paper with basic methods.
R2EA013,3,3,2,maybe,Log-analysis optimization with modest adaptive transfer.
R2EA014,4,4,4,keep_high,Strong bibliometric review of smart learning environments.
R2EA015,4,4,3,keep_medium,ITS design study with solid adaptive learning focus.
R2EA016,5,5,4,keep_high,Foundational comprehensive framework for AI in education.
R2EA017,4,3,4,keep_medium,Healthcare-education ChatGPT review with domain specificity.
R2EA018,4,4,3,keep_medium,Special-needs AI education with strong transfer potential.
R2EA019,3,4,3,keep_medium,ILO-based adaptive systems with direct project relevance.
R2EA020,5,5,4,keep_high,Comprehensive field review with strong methodological quality.
R2EA021,3,3,2,maybe,Higher-education AI overview with moderate depth.
R2EA022,4,3,3,keep_medium,Multidisciplinary STEM data-science teaching insights.
R2EA023,5,5,4,keep_high,Authoritative state-of-field AI higher-education synthesis.
R2EA024,4,3,3,keep_medium,EDM framework with practical implementation potential.
R2EA025,3,2,2,maybe,Farmers teaching system with limited transferability.
R2EA026,4,3,3,keep_medium,Patent-based edtech evolution landscape perspective.
R2EA028,3,3,2,maybe,Smart tutor guidance with basic methodological support.
