participant_id,session_id,timestamp_ms,phase,trial_id,gaze_x,gaze_y,page_width,page_height,event_type,event_value,text_id,probe_tut,difficulty,familiarity,comprehension_correct
P003,S1777385935863,84115,calibration,,,,1600,865,phase_start,calibration,p1,,,,
P003,S1777385935863,84159,calibration,,500.19,499.46,1600,865,gaze,,p1,,,,
P003,S1777385935863,84210,calibration,,499.63,497.69,1600,865,gaze,,p1,,,,
P003,S1777385935863,84234,calibration,,480.87,493.83,1600,865,gaze,,p1,,,,
P003,S1777385935863,84259,calibration,,450.34,491.93,1600,865,gaze,,p1,,,,
P003,S1777385935863,84283,calibration,,390.87,487.29,1600,865,gaze,,p1,,,,
P003,S1777385935863,84306,calibration,,331.76,475.57,1600,865,gaze,,p1,,,,
P003,S1777385935863,84328,calibration,,233.09,461.16,1600,865,gaze,,p1,,,,
P003,S1777385935863,84355,calibration,,210.31,449.98,1600,865,gaze,,p1,,,,
P003,S1777385935863,84383,calibration,,209.98,449.31,1600,865,gaze,,p1,,,,
P003,S1777385935863,84406,calibration,,228.51,442.50,1600,865,gaze,,p1,,,,
P003,S1777385935863,84428,calibration,,282.43,443.20,1600,865,gaze,,p1,,,,
P003,S1777385935863,84448,calibration,,343.57,420.47,1600,865,gaze,,p1,,,,
P003,S1777385935863,84469,calibration,,386.59,425.79,1600,865,gaze,,p1,,,,
P003,S1777385935863,84498,calibration,,435.46,389.72,1600,865,gaze,,p1,,,,
P003,S1777385935863,84532,calibration,,456.83,386.43,1600,865,gaze,,p1,,,,
P003,S1777385935863,84568,calibration,,511.74,386.58,1600,865,gaze,,p1,,,,
P003,S1777385935863,84599,calibration,,489.62,358.85,1600,865,gaze,,p1,,,,
P003,S1777385935863,84627,calibration,,469.13,358.81,1600,865,gaze,,p1,,,,
P003,S1777385935863,84656,calibration,,525.26,300.99,1600,865,gaze,,p1,,,,
P003,S1777385935863,84683,calibration,,537.59,249.80,1600,865,gaze,,p1,,,,
P003,S1777385935863,84722,calibration,,585.90,196.29,1600,865,gaze,,p1,,,,
P003,S1777385935863,84743,calibration,,567.43,210.37,1600,865,gaze,,p1,,,,
