participant_id,session_id,timestamp_ms,phase,trial_id,gaze_x,gaze_y,page_width,page_height,event_type,event_value,text_id,probe_tut,difficulty,familiarity,comprehension_correct
P005,S1777388229181,22967,calibration,,,,1600,865,phase_start,calibration,p1,,,,
P005,S1777388229181,23021,calibration,,499.22,502.71,1600,865,gaze,,p1,,,,
P005,S1777388229181,23066,calibration,,496.21,512.06,1600,865,gaze,,p1,,,,
P005,S1777388229181,23091,calibration,,491.00,526.13,1600,865,gaze,,p1,,,,
P005,S1777388229181,23119,calibration,,480.02,549.38,1600,865,gaze,,p1,,,,
P005,S1777388229181,23146,calibration,,462.34,585.18,1600,865,gaze,,p1,,,,
P005,S1777388229181,23172,calibration,,444.54,627.89,1600,865,gaze,,p1,,,,
P005,S1777388229181,23202,calibration,,437.98,674.33,1600,865,gaze,,p1,,,,
P005,S1777388229181,23224,calibration,,435.39,722.68,1600,865,gaze,,p1,,,,
P005,S1777388229181,23248,calibration,,448.82,758.29,1600,865,gaze,,p1,,,,
P005,S1777388229181,23270,calibration,,458.66,787.35,1600,865,gaze,,p1,,,,
P005,S1777388229181,23291,calibration,,491.48,810.01,1600,865,gaze,,p1,,,,
P005,S1777388229181,23325,calibration,,520.27,825.67,1600,865,gaze,,p1,,,,
P005,S1777388229181,23355,calibration,,533.81,817.51,1600,865,gaze,,p1,,,,
P005,S1777388229181,23391,calibration,,584.82,787.01,1600,865,gaze,,p1,,,,
P005,S1777388229181,23434,calibration,,646.52,768.25,1600,865,gaze,,p1,,,,
P005,S1777388229181,23464,calibration,,674.36,742.60,1600,865,gaze,,p1,,,,
P005,S1777388229181,23486,calibration,,715.08,694.30,1600,865,gaze,,p1,,,,
P005,S1777388229181,23509,calibration,,711.95,661.06,1600,865,gaze,,p1,,,,
P005,S1777388229181,23530,calibration,,737.77,640.80,1600,865,gaze,,p1,,,,
P005,S1777388229181,23552,calibration,,729.96,633.71,1600,865,gaze,,p1,,,,
P005,S1777388229181,23573,calibration,,664.45,647.21,1600,865,gaze,,p1,,,,
P005,S1777388229181,23593,calibration,,612.07,682.16,1600,865,gaze,,p1,,,,
P005,S1777388229181,23615,calibration,,591.12,718.10,1600,865,gaze,,p1,,,,
P005,S1777388229181,23636,calibration,,547.62,729.10,1600,865,gaze,,p1,,,,
P005,S1777388229181,23665,calibration,,527.51,755.86,1600,865,gaze,,p1,,,,
P005,S1777388229181,23700,calibration,,502.09,770.83,1600,865,gaze,,p1,,,,
P005,S1777388229181,23736,calibration,,469.93,782.50,1600,865,gaze,,p1,,,,
P005,S1777388229181,23758,calibration,,443.49,795.69,1600,865,gaze,,p1,,,,
P005,S1777388229181,23785,calibration,,424.05,868.79,1600,865,gaze,,p1,,,,
P005,S1777388229181,23812,calibration,,385.31,903.54,1600,865,gaze,,p1,,,,
P005,S1777388229181,23834,calibration,,376.50,932.37,1600,865,gaze,,p1,,,,
P005,S1777388229181,23856,calibration,,378.82,956.18,1600,865,gaze,,p1,,,,
P005,S1777388229181,23886,calibration,,371.51,937.16,1600,865,gaze,,p1,,,,
P005,S1777388229181,23908,calibration,,383.40,899.51,1600,865,gaze,,p1,,,,
P005,S1777388229181,23926,calibration,,398.08,873.44,1600,865,gaze,,p1,,,,
P005,S1777388229181,23945,calibration,,414.96,848.72,1600,865,gaze,,p1,,,,
P005,S1777388229181,23965,calibration,,444.51,822.08,1600,865,gaze,,p1,,,,
P005,S1777388229181,23991,calibration,,476.57,795.58,1600,865,gaze,,p1,,,,
P005,S1777388229181,24017,calibration,,508.64,772.80,1600,865,gaze,,p1,,,,
P005,S1777388229181,24037,calibration,,520.83,759.29,1600,865,gaze,,p1,,,,
P005,S1777388229181,24057,calibration,,530.08,748.96,1600,865,gaze,,p1,,,,
P005,S1777388229181,24078,calibration,,536.78,741.36,1600,865,gaze,,p1,,,,
P005,S1777388229181,24101,calibration,,552.59,725.37,1600,865,gaze,,p1,,,,
P005,S1777388229181,24122,calibration,,554.49,724.17,1600,865,gaze,,p1,,,,
P005,S1777388229181,24144,calibration,,557.54,721.24,1600,865,gaze,,p1,,,,
P005,S1777388229181,24162,calibration,,571.39,724.28,1600,865,gaze,,p1,,,,
P005,S1777388229181,24184,calibration,,567.32,730.43,1600,865,gaze,,p1,,,,
P005,S1777388229181,24216,calibration,,564.41,724.91,1600,865,gaze,,p1,,,,
P005,S1777388229181,24257,calibration,,559.30,725.73,1600,865,gaze,,p1,,,,
P005,S1777388229181,24288,calibration,,560.61,714.94,1600,865,gaze,,p1,,,,
P005,S1777388229181,24313,calibration,,561.27,706.22,1600,865,gaze,,p1,,,,
P005,S1777388229181,24336,calibration,,566.14,702.26,1600,865,gaze,,p1,,,,
P005,S1777388229181,24361,calibration,,569.94,699.52,1600,865,gaze,,p1,,,,
P005,S1777388229181,24383,calibration,,580.37,699.11,1600,865,gaze,,p1,,,,
P005,S1777388229181,24409,calibration,,588.85,699.31,1600,865,gaze,,p1,,,,
P005,S1777388229181,24429,calibration,,589.00,699.70,1600,865,gaze,,p1,,,,
P005,S1777388229181,24449,calibration,,601.65,699.13,1600,865,gaze,,p1,,,,
P005,S1777388229181,24468,calibration,,602.76,688.25,1600,865,gaze,,p1,,,,
P005,S1777388229181,24486,calibration,,574.27,691.08,1600,865,gaze,,p1,,,,
P005,S1777388229181,24504,calibration,,475.97,760.39,1600,865,gaze,,p1,,,,
P005,S1777388229181,24522,calibration,,392.41,819.63,1600,865,gaze,,p1,,,,
P005,S1777388229181,24540,calibration,,323.06,869.09,1600,865,gaze,,p1,,,,
P005,S1777388229181,24560,calibration,,282.91,898.37,1600,865,gaze,,p1,,,,
P005,S1777388229181,24577,calibration,,276.69,909.67,1600,865,gaze,,p1,,,,
P005,S1777388229181,24596,calibration,,245.82,911.04,1600,865,gaze,,p1,,,,
P005,S1777388229181,24614,calibration,,275.70,883.74,1600,865,gaze,,p1,,,,
P005,S1777388229181,24633,calibration,,306.23,849.14,1600,865,gaze,,p1,,,,
P005,S1777388229181,24652,calibration,,331.58,795.22,1600,865,gaze,,p1,,,,
P005,S1777388229181,24674,calibration,,348.28,759.41,1600,865,gaze,,p1,,,,
P005,S1777388229181,24693,calibration,,386.02,726.11,1600,865,gaze,,p1,,,,
P005,S1777388229181,24712,calibration,,421.10,689.18,1600,865,gaze,,p1,,,,
P005,S1777388229181,24731,calibration,,450.59,659.25,1600,865,gaze,,p1,,,,
P005,S1777388229181,24747,calibration,,484.49,647.46,1600,865,gaze,,p1,,,,
P005,S1777388229181,24765,calibration,,512.07,639.53,1600,865,gaze,,p1,,,,
P005,S1777388229181,24782,calibration,,533.90,634.76,1600,865,gaze,,p1,,,,
P005,S1777388229181,24800,calibration,,550.61,632.52,1600,865,gaze,,p1,,,,
P005,S1777388229181,24818,calibration,,522.58,645.06,1600,865,gaze,,p1,,,,
P005,S1777388229181,24837,calibration,,454.43,712.61,1600,865,gaze,,p1,,,,
P005,S1777388229181,24855,calibration,,394.55,769.19,1600,865,gaze,,p1,,,,
P005,S1777388229181,24874,calibration,,383.61,825.35,1600,865,gaze,,p1,,,,
P005,S1777388229181,24891,calibration,,343.01,880.51,1600,865,gaze,,p1,,,,
P005,S1777388229181,24911,calibration,,325.90,909.71,1600,865,gaze,,p1,,,,
P005,S1777388229181,24929,calibration,,316.43,954.16,1600,865,gaze,,p1,,,,
P005,S1777388229181,24950,calibration,,331.56,929.81,1600,865,gaze,,p1,,,,
P005,S1777388229181,24967,calibration,,354.94,896.90,1600,865,gaze,,p1,,,,
P005,S1777388229181,24984,calibration,,384.56,869.88,1600,865,gaze,,p1,,,,
P005,S1777388229181,25002,calibration,,401.65,842.48,1600,865,gaze,,p1,,,,
P005,S1777388229181,25020,calibration,,424.79,821.69,1600,865,gaze,,p1,,,,
P005,S1777388229181,25039,calibration,,447.80,786.13,1600,865,gaze,,p1,,,,
P005,S1777388229181,25056,calibration,,444.71,749.12,1600,865,gaze,,p1,,,,
P005,S1777388229181,25077,calibration,,441.14,718.51,1600,865,gaze,,p1,,,,
P005,S1777388229181,25097,calibration,,442.32,698.01,1600,865,gaze,,p1,,,,
P005,S1777388229181,25116,calibration,,443.52,691.14,1600,865,gaze,,p1,,,,
P005,S1777388229181,25137,calibration,,447.96,690.72,1600,865,gaze,,p1,,,,
P005,S1777388229181,25158,calibration,,438.72,683.59,1600,865,gaze,,p1,,,,
P005,S1777388229181,25178,calibration,,430.92,678.38,1600,865,gaze,,p1,,,,
P005,S1777388229181,25199,calibration,,432.17,669.73,1600,865,gaze,,p1,,,,
P005,S1777388229181,25220,calibration,,435.26,674.02,1600,865,gaze,,p1,,,,
P005,S1777388229181,25240,calibration,,405.36,587.47,1600,865,gaze,,p1,,,,
P005,S1777388229181,25259,calibration,,379.82,514.80,1600,865,gaze,,p1,,,,
P005,S1777388229181,25277,calibration,,358.51,455.25,1600,865,gaze,,p1,,,,
P005,S1777388229181,25297,calibration,,346.93,402.51,1600,865,gaze,,p1,,,,
P005,S1777388229181,25316,calibration,,332.09,371.02,1600,865,gaze,,p1,,,,
P005,S1777388229181,25336,calibration,,332.31,354.01,1600,865,gaze,,p1,,,,
P005,S1777388229181,25358,calibration,,296.75,312.58,1600,865,gaze,,p1,,,,
P005,S1777388229181,25377,calibration,,267.49,280.98,1600,865,gaze,,p1,,,,
P005,S1777388229181,25395,calibration,,270.22,296.89,1600,865,gaze,,p1,,,,
P005,S1777388229181,25415,calibration,,264.31,392.41,1600,865,gaze,,p1,,,,
P005,S1777388229181,25436,calibration,,260.68,476.50,1600,865,gaze,,p1,,,,
P005,S1777388229181,25461,calibration,,299.19,473.45,1600,865,gaze,,p1,,,,
