participant_id,session_id,timestamp_ms,phase,trial_id,gaze_x,gaze_y,page_width,page_height,event_type,event_value,text_id,probe_tut,difficulty,familiarity,comprehension_correct
P004,S1777386312284,33628,calibration,,,,1600,865,phase_start,calibration,p1,,,,
P004,S1777386312284,33683,calibration,,501.51,497.50,1600,865,gaze,,p1,,,,
P004,S1777386312284,33727,calibration,,506.71,489.86,1600,865,gaze,,p1,,,,
P004,S1777386312284,33753,calibration,,534.25,473.15,1600,865,gaze,,p1,,,,
P004,S1777386312284,33776,calibration,,568.44,433.42,1600,865,gaze,,p1,,,,
P004,S1777386312284,33804,calibration,,543.82,378.75,1600,865,gaze,,p1,,,,
P004,S1777386312284,33833,calibration,,516.54,302.94,1600,865,gaze,,p1,,,,
P004,S1777386312284,33857,calibration,,480.39,222.58,1600,865,gaze,,p1,,,,
P004,S1777386312284,33879,calibration,,459.80,163.03,1600,865,gaze,,p1,,,,
P004,S1777386312284,33903,calibration,,413.75,96.08,1600,865,gaze,,p1,,,,
P004,S1777386312284,33924,calibration,,296.31,73.59,1600,865,gaze,,p1,,,,
P004,S1777386312284,33945,calibration,,275.94,59.48,1600,865,gaze,,p1,,,,
P004,S1777386312284,33964,calibration,,162.14,48.78,1600,865,gaze,,p1,,,,
P004,S1777386312284,33992,calibration,,67.97,44.49,1600,865,gaze,,p1,,,,
P004,S1777386312284,34027,calibration,,9.60,49.38,1600,865,gaze,,p1,,,,
P004,S1777386312284,34051,calibration,,58.46,65.39,1600,865,gaze,,p1,,,,
P004,S1777386312284,34074,calibration,,105.86,82.03,1600,865,gaze,,p1,,,,
P004,S1777386312284,34097,calibration,,144.21,110.39,1600,865,gaze,,p1,,,,
P004,S1777386312284,34117,calibration,,119.21,111.74,1600,865,gaze,,p1,,,,
P004,S1777386312284,34139,calibration,,99.53,113.85,1600,865,gaze,,p1,,,,
P004,S1777386312284,34159,calibration,,104.55,125.79,1600,865,gaze,,p1,,,,
P004,S1777386312284,34186,calibration,,129.45,119.99,1600,865,gaze,,p1,,,,
P004,S1777386312284,34219,calibration,,115.02,109.92,1600,865,gaze,,p1,,,,
P004,S1777386312284,34252,calibration,,117.41,103.54,1600,865,gaze,,p1,,,,
P004,S1777386312284,34286,calibration,,78.16,96.78,1600,865,gaze,,p1,,,,
P004,S1777386312284,34309,calibration,,72.17,76.15,1600,865,gaze,,p1,,,,
P004,S1777386312284,34331,calibration,,47.77,76.14,1600,865,gaze,,p1,,,,
P004,S1777386312284,34350,calibration,,95.45,79.05,1600,865,gaze,,p1,,,,
P004,S1777386312284,34369,calibration,,137.48,82.23,1600,865,gaze,,p1,,,,
P004,S1777386312284,34387,calibration,,123.16,73.98,1600,865,gaze,,p1,,,,
P004,S1777386312284,34410,calibration,,142.29,68.41,1600,865,gaze,,p1,,,,
P004,S1777386312284,34436,calibration,,349.82,75.16,1600,865,gaze,,p1,,,,
P004,S1777386312284,34471,calibration,,525.87,81.40,1600,865,gaze,,p1,,,,
P004,S1777386312284,34495,calibration,,566.50,103.25,1600,865,gaze,,p1,,,,
